stock_code,duration,profit_ratio,close_desceding_x,amount_desceding_x,amount_rising_count_bp,close_rising_count_s,close_rising_rate_s
110044.SH,1min,0.002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0007,-0.005,2,1,2,-0.001
110044.SH,1min,0.0023,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0045,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0049,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0001,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0088,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0013,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0036,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0014,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0047,-0.005,2,1,2,-0.001
110044.SH,1min,0.0002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0025,-0.005,2,1,2,-0.001
110044.SH,1min,0.0004,-0.005,2,1,2,-0.001
110044.SH,1min,-0.006,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0064,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,2,1,2,-0.001
110044.SH,1min,0.0061,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0055,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0018,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0006,-0.005,2,1,2,-0.001
110044.SH,1min,-0.002,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0037,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0092,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0085,-0.005,2,1,2,-0.001
110044.SH,1min,0.023,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0046,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0034,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0031,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0011,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0022,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0012,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0016,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0453,-0.005,2,1,2,-0.001
110044.SH,1min,0.0035,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0154,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0224,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0041,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0008,-0.005,2,1,2,-0.001
110044.SH,1min,-0.0048,-0.005,2,1,2,-0.001
